ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"171.228.132.62","elite","AS7552","VN","Viettel Corporation","229","VIETEL","10089","http","27889","100","2","2","2024-10-13T14:14:25.664Z","729"
"49.51.244.112","anonymous","AS132203","US","OPHL","200","Tencent cloud computing (Beijing) Co., Ltd.","8888","http","1289","100","287","287","2024-10-13T14:18:35.157Z","3410"
"209.97.150.167","elite","AS14061","US","DigitalOcean, LLC","88","DigitalOcean, LLC","8080","http","20697","80","44","55","2024-10-13T13:11:05.271Z","357"
"165.232.129.150","elite","AS14061","US","DigitalOcean, LLC","195","DigitalOcean, LLC","80","http","11487","100","45","45","2024-10-13T13:37:27.570Z","361"
"45.202.198.16","transparent","AS984","US","Octopus Web Solution Inc","197","Waterloo Network Company Limited","3128","http","12715","100","8","8","2024-10-13T13:14:10.956Z","879"
"154.85.59.71","elite","AS55967","US","Beijing Baidu Netcom Science and Technology Co., Ltd.","194","N/A","8443","http","17986","100","2","2","2024-10-13T13:55:06.273Z","1101"
"154.64.226.138","elite","AS51847","US","Cogent Communications","243","NetLab Global","80","http","31502","100","2","2","2024-10-13T14:12:03.457Z","1142"
"180.180.100.109","transparent","AS23969","TH","TOT Public Company Limited","198","TOT Public Company Limited","8080","http","29108","100","2","2","2024-10-13T13:48:17.455Z","697"
"193.138.178.6","transparent","AS34241","RU","New Communication Technologies","100","OOO New Communication Technologies","8282","http","507","99","554","561","2024-10-13T12:15:30.259Z","851"
"31.207.47.56","elite","AS57043","NL","Hostkey B.V.","10","Hostkey B.V","8118","http","16596","100","2","2","2024-10-13T13:10:23.365Z","1978"
"187.249.20.153","transparent","AS32098","MX","Transtelco Inc","183","IP Matrix, S.A. de C.V","8081","http","5304","100","16","16","2024-10-13T14:58:29.166Z","449"
"46.161.194.72","transparent","AS205254","IQ","Valin Company for General Trading and Communication LTD","82","Valin Company General Trading and Communication LTD","3128","http","28707","100","2","2","2024-10-13T13:26:42.554Z","1205"
"125.99.106.250","transparent","AS17488","IN","Hathway IP over Cable Internet Access","116","N/A","3128","http","498","84","448","531","2024-10-13T13:58:41.755Z","3683"
"103.48.68.68","transparent","AS136290","IN","Country Online Services PVT LTD","139","Country Online Services PVT LTD","83","http","10004","100","79","79","2024-10-13T14:02:01.872Z","436"
